"","year","month","total_energy","kitchen","laundry_room","water_air_systems","id"
"1",2007,"enero",1150288.26666667,56433,79274.5,329610.5,1
"2",2007,"febrero",941613.8,47584,64640,270308,2
"3",2007,"marzo",981045.35,60769,104762,290361,3
"4",2007,"abril",608819.866666667,42078,38417,189503,4
"5",2007,"mayo",733481.2,75737,72132,229448,5
"6",2007,"junio",595568.85,59673,69965,189226,6
"7",2007,"julio",497247.966666667,43052,55816,154826,7
"8",2007,"agosto",568676.583333333,36251,49712.5,225620.5,8
"9",2007,"septiembre",698030.7,52841,75314,226409,9
"10",2007,"octubre",821356.9,43218,87942,256080,10
"11",2007,"noviembre",932034.933333333,50824.5,73666,299705.5,11
"12",2007,"diciembre",1210093.33333333,74090,82931,362423,12
"13",2008,"enero",1086230.51666667,61761.5,62912.5,312191.5,13
"14",2008,"febrero",822300.816666667,40228.5,56646,255969,14
"15",2008,"marzo",926536.6,63110,79277.5,279688,15
"16",2008,"abril",803499.866666667,47080,70871,295678,16
"17",2008,"mayo",762081.233333333,53084,58910,290622,17
"18",2008,"junio",715744.833333333,68728,63449.5,290103.5,18
"19",2008,"julio",591304.966666667,47313,44416,227228,19
"20",2008,"agosto",205737.95,3873,22264,79682,20
"21",2008,"septiembre",711129.866666667,52376,44590,284282,21
"22",2008,"octubre",846187.283333333,44093,63292.5,276639.5,22
"23",2008,"noviembre",998950.25,58067,55926.5,280700.5,23
"24",2008,"diciembre",949491.366666667,45108.5,39459,308729,24
"25",2009,"enero",1049255.08333333,74652.5,72952,329621.5,25
"26",2009,"febrero",837960.033333333,47098,50696,296200,26
"27",2009,"marzo",912787.9,64691,48427.5,328733,27
"28",2009,"abril",821279.066666667,54506,52601,307840,28
"29",2009,"mayo",753541.15,43570,50103.5,311052,29
"30",2009,"junio",627942.25,31362,31453.5,302934,30
"31",2009,"julio",459934.2,18226,42528,187938,31
"32",2009,"agosto",488215.283333333,34023,38217,192509.5,32
"33",2009,"septiembre",710560.366666667,51602,46144,296612.5,33
"34",2009,"octubre",851488.45,54728,53729,327505.5,34
"35",2009,"noviembre",917839.45,60446,53473,335547.5,35
"36",2009,"diciembre",1015164.73333333,57801,53492,383945,36
"37",2010,"enero",1081336.53333333,57016,59697,425674,37
"38",2010,"febrero",924616.5,49269.5,53591.5,411731,38
"39",2010,"marzo",829760.1,35089,62899,325365.5,39
"40",2010,"abril",739641.583333333,38196,36476,336092,40
"41",2010,"mayo",814901.533333333,48108.5,52376,364625.5,41
"42",2010,"junio",698133.833333333,65747,47683,306950,42
"43",2010,"julio",536506.716666667,17704,34359,192912.5,43
"44",2010,"agosto",462327.566666667,12499,34209,167415,44
"45",2010,"septiembre",713562.966666667,36865,32508,307612.5,45
"46",2010,"octubre",865578.5,48199,60242,315669.5,46
"47",2010,"noviembre",743306.466666667,46162,42282,247113,47
