"","year","month","total_energy","kitchen","laundry_room","water_air_systems","Average_Global_intensity","Average_Voltage","Month_year","Monthly_Bill","Kitchen_Bill","Laundry_Bill","Water_Air_Bill","Unmeasured_Bill","ID"
"1",2007,"enero",1150288.26666667,56433,79274.5,329610.5,6.54714157706093,240.904805331541,"2007 - enero",206.94,10.15,14.26,59.3,123.23,2007-01-01
"2",2007,"febrero",941613.8,47584,64640,270308,5.91510416666667,240.519176339286,"2007 - febrero",169.4,8.56,11.63,48.63,100.58,2007-02-01
"3",2007,"marzo",981045.35,60769,104762,290361,5.57290546594982,240.513515793011,"2007 - marzo",176.49,10.93,18.85,52.24,94.47,2007-03-01
"4",2007,"abril",608819.866666667,42078,38417,189503,3.63386574074074,239.055732523148,"2007 - abril",109.53,7.57,6.91,34.09,60.96,2007-04-01
"5",2007,"mayo",733481.2,75737,72132,229448,4.29746415770609,235.178363799283,"2007 - mayo",131.95,13.63,12.98,41.28,64.06,2007-05-01
"6",2007,"junio",595568.85,59673,69965,189226,3.60494675925926,238.876587152778,"2007 - junio",107.14,10.74,12.59,34.04,49.77,2007-06-01
"7",2007,"julio",497247.966666667,43052,55816,154826,2.94893817204301,237.678028785842,"2007 - julio",89.45,7.75,10.04,27.85,43.81,2007-07-01
"8",2007,"agosto",568676.583333333,36251,49712.5,225620.5,3.31342069892473,237.934727822581,"2007 - agosto",102.3,6.52,8.94,40.59,46.25,2007-08-01
"9",2007,"septiembre",698030.7,52841,75314,226409,4.1753287037037,239.423883796296,"2007 - septiembre",125.58,9.51,13.55,40.73,61.79,2007-09-01
"10",2007,"octubre",821356.9,43218,87942,256080,4.67745071684588,239.725872311828,"2007 - octubre",147.76,7.77,15.82,46.07,78.1,2007-10-01
"11",2007,"noviembre",932034.933333333,50824.5,73666,299705.5,5.44602314814815,240.869299768519,"2007 - noviembre",167.67,9.14,13.25,53.92,91.36,2007-11-01
"12",2007,"diciembre",1210093.33333333,74090,82931,362423,6.81953629032258,241.725796706989,"2007 - diciembre",217.7,13.33,14.92,65.2,124.25,2007-12-01
"13",2008,"enero",1086230.51666667,61761.5,62912.5,312191.5,6.18200492831541,240.646173947133,"2008 - enero",195.41,11.11,11.32,56.16,116.82,2008-01-01
"14",2008,"febrero",822300.816666667,40228.5,56646,255969,4.97460488505747,240.602682590996,"2008 - febrero",147.93,7.24,10.19,46.05,84.45,2008-02-01
"15",2008,"marzo",926536.6,63110,79277.5,279688,5.23486559139785,241.325363239247,"2008 - marzo",166.68,11.35,14.26,50.32,90.75,2008-03-01
"16",2008,"abril",803499.866666667,47080,70871,295678,4.69706018518518,241.221191203704,"2008 - abril",144.55,8.47,12.75,53.19,70.14,2008-04-01
"17",2008,"mayo",762081.233333333,53084,58910,290622,4.38418906810036,240.36776187276,"2008 - mayo",137.1,9.55,10.6,52.28,64.67,2008-05-01
"18",2008,"junio",715744.833333333,68728,63449.5,290103.5,4.30143518518519,238.97522962963,"2008 - junio",128.76,12.36,11.41,52.19,52.8,2008-06-01
"19",2008,"julio",591304.966666667,47313,44416,227228,3.46361111111111,239.770818772401,"2008 - julio",106.38,8.51,7.99,40.88,49,2008-07-01
"20",2008,"agosto",205737.95,3873,22264,79682,1.26374327956989,240.433001232079,"2008 - agosto",37.01,0.7,4.01,14.33,17.97,2008-08-01
"21",2008,"septiembre",711129.866666667,52376,44590,284282,4.21234722222222,240.124580787037,"2008 - septiembre",127.93,9.42,8.02,51.14,59.35,2008-09-01
"22",2008,"octubre",846187.283333333,44093,63292.5,276639.5,4.80020609318996,240.327549283154,"2008 - octubre",152.23,7.93,11.39,49.77,83.14,2008-10-01
"23",2008,"noviembre",998950.25,58067,55926.5,280700.5,5.86649074074074,240.586041435185,"2008 - noviembre",179.71,10.45,10.06,50.5,108.7,2008-11-01
"24",2008,"diciembre",949491.366666667,45108.5,39459,308729,5.30899417562724,243.081214045699,"2008 - diciembre",170.81,8.12,7.1,55.54,100.05,2008-12-01
"25",2009,"enero",1049255.08333333,74652.5,72952,329621.5,5.86745071684588,243.793009632616,"2009 - enero",188.76,13.43,13.12,59.3,102.91,2009-01-01
"26",2009,"febrero",837960.033333333,47098,50696,296200,5.1980505952381,242.402547619048,"2009 - febrero",150.75,8.47,9.12,53.29,79.87,2009-02-01
"27",2009,"marzo",912787.9,64691,48427.5,328733,5.14950940860215,242.303586021505,"2009 - marzo",164.21,11.64,8.71,59.14,84.72,2009-03-01
"28",2009,"abril",821279.066666667,54506,52601,307840,4.81644444444444,241.6332625,"2009 - abril",147.75,9.81,9.46,55.38,73.1,2009-04-01
"29",2009,"mayo",753541.15,43570,50103.5,311052,4.30008288530466,240.118505712366,"2009 - mayo",135.56,7.84,9.01,55.96,62.75,2009-05-01
"30",2009,"junio",627942.25,31362,31453.5,302934,3.72958796296296,240.959658564815,"2009 - junio",112.97,5.64,5.66,54.5,47.17,2009-06-01
"31",2009,"julio",459934.2,18226,42528,187938,2.71057347670251,242.017820564516,"2009 - julio",82.74,3.28,7.65,33.81,38,2009-07-01
"32",2009,"agosto",488215.283333333,34023,38217,192509.5,2.89811603942652,241.286133512545,"2009 - agosto",87.83,6.12,6.88,34.63,40.2,2009-08-01
"33",2009,"septiembre",710560.366666667,51602,46144,296612.5,4.21291898148148,241.146417824074,"2009 - septiembre",127.83,9.28,8.3,53.36,56.89,2009-09-01
"34",2009,"octubre",851488.45,54728,53729,327505.5,4.81867831541219,240.894131944444,"2009 - octubre",153.18,9.85,9.67,58.92,74.74,2009-10-01
"35",2009,"noviembre",917839.45,60446,53473,335547.5,5.33408101851852,241.946559490741,"2009 - noviembre",165.12,10.87,9.62,60.36,84.27,2009-11-01
"36",2009,"diciembre",1015164.73333333,57801,53492,383945,5.66197132616487,244.082178091398,"2009 - diciembre",182.63,10.4,9.62,69.07,93.54,2009-12-01
"37",2010,"enero",1081336.53333333,57016,59697,425674,6.02689068100358,243.565321124552,"2010 - enero",194.53,10.26,10.74,76.58,96.95,2010-01-01
"38",2010,"febrero",924616.5,49269.5,53591.5,411731,5.71600942460317,242.347919766865,"2010 - febrero",166.34,8.86,9.64,74.07,73.77,2010-02-01
"39",2010,"marzo",829760.1,35089,62899,325365.5,4.67427195340502,242.021672043011,"2010 - marzo",149.27,6.31,11.32,58.53,73.11,2010-03-01
"40",2010,"abril",739641.583333333,38196,36476,336092,4.30513194444444,241.782746064815,"2010 - abril",133.06,6.87,6.56,60.46,59.17,2010-04-01
"41",2010,"mayo",814901.533333333,48108.5,52376,364625.5,4.6309229390681,240.369250112007,"2010 - mayo",146.6,8.65,9.42,65.6,62.93,2010-05-01
"42",2010,"junio",698133.833333333,65747,47683,306950,4.16929166666667,240.841877662037,"2010 - junio",125.59,11.83,8.58,55.22,49.96,2010-06-01
"43",2010,"julio",536506.716666667,17704,34359,192912.5,3.13099462365591,240.547928315412,"2010 - julio",96.52,3.18,6.18,34.7,52.46,2010-07-01
"44",2010,"agosto",462327.566666667,12499,34209,167415,2.68325268817204,241.236560483871,"2010 - agosto",83.17,2.25,6.15,30.12,44.65,2010-08-01
"45",2010,"septiembre",713562.966666667,36865,32508,307612.5,4.20437037037037,240.89668287037,"2010 - septiembre",128.37,6.63,5.85,55.34,60.55,2010-09-01
"46",2010,"octubre",865578.5,48199,60242,315669.5,4.88907034050179,242.159322356631,"2010 - octubre",155.72,8.67,10.84,56.79,79.42,2010-10-01
"47",2010,"noviembre",743306.466666667,46162,42282,247113,5.05770871910474,240.721887663366,"2010 - noviembre",133.72,8.3,7.61,44.46,73.35,2010-11-01
