"","ID","total_energy","kitchen","laundry_room","water_air_systems","Average_Global_intensity","Average_Voltage","Daily_Bill","Kitchen_Bill","Laundry_Bill","Water_Air_Bill","Unmeasured_Bill","year","month","day","Weekday"
"1",2007-01-01,45816.7333333333,0,352,5880,7.91694444444444,240.128979166667,8.24,0,0.06,1.06,7.12,2007,"enero",1,"lunes"
"2",2007-01-02,21153.9333333333,0,348,6562,3.71402777777778,241.943777777778,3.81,0,0.06,1.18,2.57,2007,"enero",2,"martes"
"3",2007-01-03,16900.9,0,344,4765,3.01402777777778,243.557090277778,3.04,0,0.06,0.86,2.12,2007,"enero",3,"miércoles"
"4",2007-01-04,54323.5333333333,1051,7597,10896,9.47819444444444,239.750298611111,9.77,0.19,1.37,1.96,6.25,2007,"enero",4,"jueves"
"5",2007-01-05,45222.7333333333,1483,379,7602,7.88513888888889,240.495763888889,8.14,0.27,0.07,1.37,6.43,2007,"enero",5,"viernes"
"6",2007-01-06,25139.6333333333,1336,402,5678,4.54388888888889,239.673055555556,4.52,0.24,0.07,1.02,3.19,2007,"enero",6,"sábado"
"7",2007-01-07,40793.6666666667,1987,8177,12810,7.28263888888889,240.902486111111,7.34,0.36,1.47,2.3,3.21,2007,"enero",7,"domingo"
"8",2007-01-08,37356,0,467,17547,6.55166666666667,239.576951388889,6.72,0,0.08,3.16,3.48,2007,"enero",8,"lunes"
"9",2007-01-09,31150.9,1688,4267,9790,5.52111111111111,240.487520833333,5.6,0.3,0.77,1.76,2.77,2007,"enero",9,"martes"
"10",2007-01-10,35913.3333333333,771,4456,11012,6.35777777777778,241.027451388889,6.46,0.14,0.8,1.98,3.54,2007,"enero",10,"miércoles"
"11",2007-01-11,37586.5666666667,1378,2170,12415,6.65833333333333,241.1556875,6.76,0.25,0.39,2.23,3.89,2007,"enero",11,"jueves"
"12",2007-01-12,24354.9333333333,0,439,8276,4.30916666666667,241.538208333333,4.38,0,0.08,1.49,2.81,2007,"enero",12,"viernes"
"13",2007-01-13,53113.5666666667,7806,2975,11341,9.45305555555556,239.283611111111,9.56,1.4,0.54,2.04,5.58,2007,"enero",13,"sábado"
